Id,Fitness,Pbest,X,Y,V1,V2,XB,YB,It
2,3.83386,3.83386,0.322642,-1.93126,0.322642,-1.93126,0.322642,-1.93126,1
7,6.56064,6.56064,-2.43061,-0.807932,2.89108,-0.575959,-2.43061,-0.807932,2
4,15.4331,8.66119,2.79264,2.76301,3.92569,0.0468755,-1.13305,2.71613,3
4,10.1192,8.66119,-2.5877,1.85014,-5.38034,-0.912873,-1.13305,2.71613,4
4,2.73445,2.73445,-1.61678,0.3471,0.970919,-1.50304,-1.61678,0.3471,5
2,2.64174,2.64174,0.0649222,-1.62404,-0.601781,1.98454,0.0649222,-1.62404,6
2,0.115185,0.115185,-0.161864,0.298303,-0.226786,1.92235,-0.161864,0.298303,7
2,3.23056,0.115185,0.316329,1.76932,0.478193,1.47102,-0.161864,0.298303,8
8,2.99058,2.99058,-0.728184,1.56854,-2.80846,4.66201,-0.728184,1.56854,9
2,1.98978,0.115185,-0.180601,1.39899,-0.288516,-0.794467,-0.161864,0.298303,10
2,0.169843,0.115185,0.29039,-0.292432,0.470991,-1.69142,-0.161864,0.298303,11
5,2.10359,2.10359,0.926907,-1.11554,1.01688,5.21099,0.926907,-1.11554,12
4,7.36289,2.73445,-1.46071,2.28675,-3.61167,0.45462,-1.61678,0.3471,13
4,9.54949,2.73445,-2.7046,1.49487,-1.24388,-0.791871,-1.61678,0.3471,14
6,0.927829,0.927829,-0.752286,-0.601577,-3.83175,-2.86923,-0.752286,-0.601577,15
2,1.1468,0.115185,-0.199363,-1.05217,-0.390324,1.77183,-0.161864,0.298303,16
2,0.714724,0.115185,0.224418,0.815083,0.423781,1.86725,-0.161864,0.298303,17
8,3.18324,2.99058,0.346753,-1.75014,-1.23934,4.01552,-0.728184,1.56854,18
7,0.494295,0.494295,-0.667974,-0.219328,-4.47194,0.562941,-0.667974,-0.219328,19
2,0.964967,0.115185,0.185938,0.964569,0.384883,-1.11481,-0.161864,0.298303,20
1,0.330167,0.330167,0.211855,-0.53412,-3.98168,1.24381,0.211855,-0.53412,21
7,0.615678,0.494295,-0.0179515,-0.784446,-3.54945,-0.563753,-0.667974,-0.219328,22
8,1.55815,1.55815,1.03962,0.690899,3.58895,-4.22733,1.03962,0.690899,23
1,0.825405,0.330167,0.882436,0.216132,-2.96761,-0.499832,0.211855,-0.53412,24
4,0.729394,0.729394,0.258928,-0.813849,-1.08344,-1.86923,0.258928,-0.813849,25
2,0.232923,0.115185,0.102492,-0.471612,0.281055,1.883,-0.161864,0.298303,26
2,1.7193,0.115185,0.319226,1.27177,0.216734,1.74338,-0.161864,0.298303,27
7,1.92629,0.494295,1.25597,-0.590608,-1.47766,0.675147,-0.667974,-0.219328,28
2,3.45813,0.115185,0.0594898,1.85865,0.218567,-0.311049,-0.161864,0.298303,29
2,0.330646,0.115185,0.338877,0.464552,0.279387,-1.3941,-0.161864,0.298303,30
4,0.569472,0.569472,0.612423,0.440919,-0.529154,2.05426,0.612423,0.440919,31
4,4.17465,0.569472,-0.338376,2.01498,-0.950799,1.57406,0.612423,0.440919,32
7,5.48959,0.494295,1.66392,-1.64954,6.07698,-0.662557,-0.667974,-0.219328,33
4,3.18767,0.569472,0.737795,1.62583,-0.3183,-0.845739,0.612423,0.440919,34
4,0.167023,0.167023,-0.366993,-0.179831,-1.10479,-1.80566,-0.366993,-0.179831,35
2,0.138587,0.115185,0.359618,0.0962424,0.383658,1.92482,-0.161864,0.298303,36
2,2.73239,0.115185,-0.0693046,1.65154,-0.428922,1.5553,-0.161864,0.298303,37
8,2.16886,1.55815,-1.45292,0.24058,-0.6763,4.70641,1.03962,0.690899,38
7,0.179998,0.179998,0.422415,-0.0395447,4.60559,0.377254,0.422415,-0.0395447,39
2,0.00780982,0.00780982,-0.0312903,-0.0826483,-0.39151,-1.62204,-0.0312903,-0.0826483,40
1,0.191978,0.191978,0.426529,0.100255,4.13057,1.13373,0.426529,0.100255,41
7,1.21317,0.179998,-0.356623,-1.04211,3.42554,-0.610554,0.422415,-0.0395447,42
8,4.88897,1.55815,0.241046,-2.19792,-3.69925,-4.78081,1.03962,0.690899,43
1,0.0953109,0.0953109,-0.270442,0.148902,3.07582,-0.692591,-0.270442,0.148902,44
4,1.16225,0.167023,-0.695281,-0.823917,-0.66522,-2.00044,-0.366993,-0.179831,45
