Id,Fitness,Pbest,X,Y,V1,V2,XB,YB
2,3.83386,3.83386,0.322642,-1.93126,0.322642,-1.93126,0.322642,-1.93126
4,11.635,11.635,-2.94064,1.72849,-2.94064,1.72849,-2.94064,1.72849
6,15.2585,15.2585,2.8597,2.66095,2.8597,2.66095,2.8597,2.66095
7,28.3742,28.3742,-5.32169,-0.231973,-5.32169,-0.231973,-5.32169,-0.231973
10,57.3447,57.3447,-7.56127,-0.414679,-7.56127,-0.414679,-7.56127,-0.414679
5,60.1078,60.1078,-0.530272,7.73476,-0.530272,7.73476,-0.530272,7.73476
1,71.7134,71.7134,8.2978,1.69113,8.2978,1.69113,8.2978,1.69113
8,90.9766,90.9766,2.11553,-9.3006,2.11553,-9.3006,2.11553,-9.3006
3,98.9526,98.9526,6.9439,7.12284,6.9439,7.12284,6.9439,7.12284
9,135.181,135.181,7.92859,8.50401,7.92859,8.50401,7.92859,8.50401
7,6.56064,6.56064,-2.43061,-0.807932,2.89108,-0.575959,-2.43061,-0.807932
4,8.66119,8.66119,-1.13305,2.71613,1.80759,0.987646,-1.13305,2.71613
8,10.9874,10.9874,1.62232,-2.89058,-0.493206,-7.80883,1.62232,-2.89058
10,14.6217,14.6217,-3.65108,-1.13636,3.91019,-0.72168,-3.65108,-1.13636
2,15.3355,3.83386,0.645285,-3.86252,0.322642,-1.93126,0.322642,-1.93126
6,23.4045,15.2585,2.02786,4.39229,-0.831838,1.73135,2.8597,2.66095
1,31.9309,31.9309,4.99137,2.64899,-3.30643,0.957853,4.99137,2.64899
5,42.1159,42.1159,0.180486,6.48716,0.710759,5.77807,0.180486,6.48716
9,49.0004,49.0004,4.79017,5.10438,-3.13842,6.39161,4.79017,5.10438
3,75.6573,75.6573,4.25356,7.58713,-2.69034,5.29002,4.25356,7.58713
4,15.4331,8.66119,2.79264,2.76301,3.92569,0.0468755,-1.13305,2.71613
6,20.1934,15.2585,-0.0747871,4.49309,-2.10265,0.100796,2.8597,2.66095
7,22.5466,6.56064,4.46658,-1.61129,6.8972,-0.803354,-2.43061,-0.807932
2,25.1199,3.83386,0.0290076,-5.01189,-0.616277,-1.14937,0.322642,-1.93126
1,33.275,31.9309,-5.10827,2.67966,-10.0996,0.030675,4.99137,2.64899
10,40.5706,14.6217,6.04106,-2.01895,9.69214,-0.882591,-3.65108,-1.13636
5,90.2987,42.1159,1.09809,9.4389,0.917603,4.07393,0.180486,6.48716
8,90.7317,10.9874,-0.76198,-9.49479,-2.3843,-7.61463,1.62232,-2.89058
3,99.1722,75.6573,-4.15645,9.04965,-8.41,3.36322,4.25356,7.58713
9,122.08,49.0004,-4.84871,9.92824,-9.63888,4.96738,4.79017,5.10438
4,10.1192,8.66119,-2.5877,1.85014,-5.38034,-0.912873,-1.13305,2.71613
6,15.6736,15.2585,2.67066,2.92253,2.74545,-1.57056,2.8597,2.66095
2,24.2192,3.83386,0.267235,-4.91404,0.238228,0.0978514,0.322642,-1.93126
7,27.4725,6.56064,-4.70159,-2.31679,-9.16817,-0.705504,-2.43061,-0.807932
8,36.7753,10.9874,1.90117,-5.75855,2.66315,-4.74666,1.62232,-2.89058
10,52.0722,14.6217,-6.68988,-2.70513,-12.7309,-0.686178,-3.65108,-1.13636
1,57.7443,31.9309,7.38978,1.77074,12.4981,-0.908922,4.99137,2.64899
5,88.3039,42.1159,-0.447774,9.38634,-1.54586,1.17476,0.180486,6.48716
9,121.809,49.0004,7.062,8.48159,11.9107,1.59018,4.79017,5.10438
3,136.179,75.6573,6.18778,9.89395,10.3442,0.8443,4.25356,7.58713
4,2.73445,2.73445,-1.61678,0.3471,0.970919,-1.50304,-1.61678,0.3471
6,5.27438,5.27438,2.27469,0.31646,-0.395964,-2.60607,2.27469,0.31646
2,13.4664,3.83386,0.666703,-3.60858,0.399468,1.30546,0.322642,-1.93126
7,17.5576,6.56064,-3.25489,-2.63881,1.4467,-0.322023,-2.43061,-0.807932
10,31.5078,14.6217,-4.79567,-2.91709,1.89422,-0.211958,-3.65108,-1.13636
1,37.4777,31.9309,6.11502,0.290205,-1.27476,-1.48053,4.99137,2.64899
5,59.0333,42.1159,0.0415034,7.6832,0.489278,-1.70314,0.180486,6.48716
8,87.1866,10.9874,1.86176,-9.14989,-0.0394087,-3.39134,1.62232,-2.89058
9,87.3535,49.0004,5.86102,7.28025,-1.20098,-1.20134,4.79017,5.10438
3,88.9245,75.6573,5.18357,7.87751,-1.00422,-2.01644,4.25356,7.58713
2,2.64174,2.64174,0.0649222,-1.62404,-0.601781,1.98454,0.0649222,-1.62404
4,7.35051,2.73445,2.17609,-1.61714,3.79287,-1.96424,-1.61678,0.3471
6,8.45756,5.27438,-0.961597,-2.74461,-3.23629,-3.06107,2.27469,0.31646
5,15.6813,15.6813,1.14208,3.79169,1.10057,-3.89151,1.14208,3.79169
7,27.1169,6.56064,4.59665,-2.44698,7.85154,0.191831,-2.43061,-0.807932
1,28.63,28.63,-5.22288,-1.16253,-11.3379,-1.45274,-5.22288,-1.16253
3,32.6019,32.6019,-4.24673,3.8167,-9.4303,-4.06081,-4.24673,3.8167
9,38.8101,38.8101,-4.95669,3.77376,-10.8177,-3.50648,-4.95669,3.77376
10,45.1808,14.6217,6.21136,-2.56901,11.007,0.348074,-3.65108,-1.13636
8,96.8788,10.9874,-0.765523,-9.81289,-2.62728,-0.663003,1.62232,-2.89058
2,0.115185,0.115185,-0.161864,0.298303,-0.226786,1.92235,-0.161864,0.298303
5,2.68655,2.68655,1.05034,-1.25831,-0.0917426,-5.05,1.05034,-1.25831
4,15.5929,2.73445,-2.24669,-3.24735,-4.42278,-1.63021,-1.61678,0.3471
7,19.2742,6.56064,-3.99569,-1.81896,-8.59234,0.628021,-2.43061,-0.807932
6,30.8772,5.27438,2.3797,-5.02138,3.34129,-2.27677,2.27469,0.31646
10,35.7398,14.6217,-5.70028,-1.80183,-11.9116,0.767186,-3.65108,-1.13636
3,51.3796,32.6019,-7.02838,-1.40767,-2.78165,-5.22437,-4.24673,3.8167
8,58.7095,10.9874,1.66496,-7.47913,2.43048,2.33376,1.62232,-2.89058
9,66.2799,38.8101,-8.09272,-0.887587,-3.13603,-4.66135,-4.95669,3.77376
1,79.7882,28.63,-8.49179,-2.77088,-3.2689,-1.60835,-5.22288,-1.16253
2,3.23056,0.115185,0.316329,1.76932,0.478193,1.47102,-0.161864,0.298303
8,13.8971,10.9874,2.08027,-3.09346,0.415316,4.38567,1.62232,-2.89058
7,17.238,6.56064,-4.02739,-1.00901,-0.0317039,0.809951,-2.43061,-0.807932
4,19.1396,2.73445,-2.01441,-3.88352,0.232281,-0.636169,-1.61678,0.3471
10,35.2747,14.6217,-5.8666,-0.926131,-0.166315,0.875695,-3.65108,-1.13636
6,37.9025,5.27438,2.5751,-5.59208,0.195401,-0.570702,2.27469,0.31646
5,41.5421,2.68655,-0.100235,-6.44454,-1.15057,-5.18623,1.05034,-1.25831
1,48.9685,28.63,5.82113,-3.88369,14.3129,-1.11281,-5.22288,-1.16253
9,54.3257,38.8101,5.57907,-4.81661,13.6718,-3.92902,-4.95669,3.77376
3,56.6068,32.6019,4.93348,-5.68046,11.9619,-4.27279,-4.24673,3.8167
8,2.99058,2.99058,-0.728184,1.56854,-2.80846,4.66201,-0.728184,1.56854
2,4.82289,0.115185,0.107915,2.19345,-0.208415,0.424133,-0.161864,0.298303
4,15.5071,2.73445,2.19697,-3.26809,4.21138,0.615431,-1.61678,0.3471
6,18.7474,5.27438,-0.944029,-4.22566,-3.51913,1.36642,2.27469,0.31646
7,21.2221,6.56064,4.5938,-0.345046,8.62119,0.663964,-2.43061,-0.807932
1,31.8985,28.63,-3.93606,-4.05042,-9.75719,-0.166735,-5.22288,-1.16253
10,38.4834,14.6217,6.19641,-0.296461,12.063,0.629671,-3.65108,-1.13636
9,55.1442,38.8101,-3.72751,-6.42261,-9.30658,-1.606,-4.95669,3.77376
3,62.936,32.6019,-3.17129,-7.27179,-8.10477,-1.59133,-4.24673,3.8167
5,94.5354,2.68655,1.03863,-9.6673,1.13887,-3.22276,1.05034,-1.25831
2,1.98978,0.115185,-0.180601,1.39899,-0.288516,-0.794467,-0.161864,0.298303
4,6.2129,2.73445,-1.86806,-1.65022,-4.06504,1.61787,-1.61678,0.3471
6,6.43381,5.27438,2.0633,-1.47532,3.00733,2.75034,2.27469,0.31646
7,10.3814,6.56064,-3.22059,-0.0958807,-7.81439,0.249166,-2.43061,-0.807932
10,21.3332,14.6217,-4.61574,-0.167742,-10.8122,0.128718,-3.65108,-1.13636
8,34.524,2.99058,-2.00764,5.52208,-1.27946,3.95354,-0.728184,1.56854
3,90.8346,32.6019,-7.75704,-5.53741,-4.58576,1.73439,-4.24673,3.8167
5,93.9083,2.68655,1.15273,-9.62183,0.114092,0.0454737,1.05034,-1.25831
1,98.0415,28.63,-9.36902,-3.20358,-5.43296,0.846842,-5.22288,-1.16253
9,105.292,38.8101,-8.92944,-5.05537,-5.20193,1.36723,-4.95669,3.77376
2,0.169843,0.115185,0.29039,-0.292432,0.470991,-1.69142,-0.161864,0.298303
4,5.76312,2.73445,-2.37988,0.315071,-0.51182,1.96529,-1.61678,0.3471
6,10.4851,5.27438,2.84547,1.54543,0.78217,3.02075,2.27469,0.31646
3,21.8323,21.8323,4.52119,-1.17948,12.2782,4.35793,4.52119,-1.17948
7,22.5038,6.56064,-4.72996,-0.362391,-1.50937,-0.26651,-2.43061,-0.807932
9,27.7352,27.7352,5.11138,-1.26845,14.0408,3.78693,5.11138,-1.26845
1,31.28,28.63,5.33267,-1.68601,14.7017,1.51757,-5.22288,-1.16253
5,40.0331,2.68655,-0.0899769,-6.32653,-1.2427,3.2953,1.05034,-1.25831
10,47.1181,14.6217,-6.83868,-0.592089,-2.22293,-0.424347,-3.65108,-1.13636
8,55.2214,2.99058,1.96524,7.16653,3.97288,1.64445,-0.728184,1.56854
5,2.10359,2.10359,0.926907,-1.11554,1.01688,5.21099,0.926907,-1.11554
2,4.84506,0.115185,0.15026,-2.19602,-0.14013,-1.90358,-0.161864,0.298303
1,6.84709,6.84709,-2.61429,-0.112124,-7.94696,1.57389,-2.61429,-0.112124
4,7.98329,2.73445,2.15096,1.83213,4.53084,1.51705,-1.61678,0.3471
6,13.8216,5.27438,-0.873708,3.61362,-3.71918,2.06819,2.27469,0.31646
7,20.9494,6.56064,4.4581,-1.03668,9.18806,-0.674286,-2.43061,-0.807932
8,34.1979,2.99058,-0.370997,5.83612,-2.33624,-1.33041,-0.728184,1.56854
10,37.9122,14.6217,5.99655,-1.3977,12.8352,-0.805611,-3.65108,-1.13636
9,66.7691,27.7352,7.81563,2.38431,7.07298,3.65275,5.11138,-1.26845
3,95.828,21.8323,9.30966,3.02627,6.16915,4.20574,4.52119,-1.17948
4,7.36289,2.73445,-1.46071,2.28675,-3.61167,0.45462,-1.61678,0.3471
7,9.14056,6.56064,-2.39453,-1.84575,-6.85263,-0.809072,-2.43061,-0.807932
8,9.20083,2.99058,-2.21768,2.06947,-1.84668,-3.76665,-0.728184,1.56854
2,12.5766,0.115185,-0.1932,-3.54108,-0.34346,-1.34507,-0.161864,0.298303
5,16.5807,2.10359,1.06456,3.93032,0.13765,5.04586,0.926907,-1.11554
10,17.0843,14.6217,-3.46177,-2.25842,-9.45833,-0.860716,-3.65108,-1.13636
6,18.1362,5.27438,1.72893,3.89192,2.60263,0.278297,2.27469,0.31646
9,19.5747,19.5747,0.0511484,4.42404,-7.76449,2.03973,0.0511484,4.42404
1,40.7332,6.84709,-6.28788,1.09352,-3.67359,1.20564,-2.61429,-0.112124
3,49.7539,21.8323,-4.56516,5.37709,-13.8748,2.35083,4.52119,-1.17948
4,9.54949,2.73445,-2.7046,1.49487,-1.24388,-0.791871,-1.61678,0.3471
8,10.0412,2.99058,1.79921,-2.60845,4.0169,-4.67792,-0.728184,1.56854
2,14.3789,0.115185,0.259511,-3.78307,0.452711,-0.241984,-0.161864,0.298303
6,14.6254,5.27438,3.07947,2.26765,1.35054,-1.62426,2.27469,0.31646
1,27.1056,6.84709,5.00239,1.4428,11.2903,0.34928,-2.61429,-0.112124
3,27.8024,21.8323,1.89307,4.92125,6.45824,-0.455846,4.52119,-1.17948
7,34.6419,6.56064,-5.34605,-2.46205,-2.95152,-0.616297,-2.43061,-0.807932
5,45.8144,2.10359,-0.0776013,6.76819,-1.14216,2.83787,0.926907,-1.11554
10,67.1063,14.6217,-7.68904,-2.82577,-4.22727,-0.567352,-3.65108,-1.13636
9,80.3616,19.5747,-7.3183,5.17726,-7.36945,0.753228,0.0511484,4.42404
6,0.927829,0.927829,-0.752286,-0.601577,-3.83175,-2.86923,-0.752286,-0.601577
1,3.18844,3.18844,-1.59922,0.794307,-6.60162,-0.648493,-1.59922,0.794307
4,4.2077,2.73445,2.03912,-0.222892,4.74372,-1.71777,-1.61678,0.3471
2,8.01144,0.115185,0.190961,-2.824,-0.0685497,0.959067,-0.161864,0.298303
7,24.5278,6.56064,4.19274,-2.63605,9.53879,-0.174008,-2.43061,-0.807932
5,39.731,2.10359,0.82422,6.24913,0.901822,-0.519058,0.926907,-1.11554
8,39.7372,2.99058,-0.00985289,-6.30373,-1.80907,-3.69529,-0.728184,1.56854
10,39.7823,14.6217,5.6165,-2.87006,13.3055,-0.0442905,-3.65108,-1.13636
9,69.9937,19.5747,7.15307,4.33904,14.4714,-0.838224,0.0511484,4.42404
3,101.216,21.8323,9.89029,1.84328,7.99722,-3.07797,4.52119,-1.17948
2,1.1468,0.115185,-0.199363,-1.05217,-0.390324,1.77183,-0.161864,0.298303
4,5.78329,2.73445,-1.03422,-2.1711,-3.07335,-1.94821,-1.61678,0.3471
9,6.88526,6.88526,1.35222,2.24873,-5.80086,-2.09031,1.35222,2.24873
7,7.63986,6.56064,-1.53693,-2.29732,-5.72967,0.338729,-2.43061,-0.807932
5,7.98588,2.10359,1.14564,2.58329,0.321417,-3.66584,0.926907,-1.11554
10,10.7654,10.7654,-2.26552,-2.37336,-7.88202,0.496703,-2.26552,-2.37336
3,21.6085,21.6085,-3.84616,-2.61066,-13.7365,-4.45394,-3.84616,-2.61066
6,23.1076,0.927829,-3.01997,-3.73997,-2.26768,-3.1384,-0.752286,-0.601577
1,29.3727,3.18844,-5.40443,-0.405921,-3.80521,-1.20023,-1.59922,0.794307
8,62.2212,2.99058,-2.38033,-7.52032,-2.37048,-1.21659,-0.728184,1.56854
2,0.714724,0.115185,0.224418,0.815083,0.423781,1.86725,-0.161864,0.298303
5,7.5384,2.10359,-0.048704,-2.74518,-1.19434,-5.32847,0.926907,-1.11554
4,21.5665,2.73445,-2.98091,-3.561,-1.94668,-1.3899,-1.61678,0.3471
1,24.5137,3.18844,4.66028,-1.67196,10.0647,-1.26604,-1.59922,0.794307
8,35.7585,2.99058,1.58609,-5.76566,3.96642,1.75466,-0.728184,1.56854
9,35.8365,6.88526,-5.94672,-0.687741,-7.29894,-2.93647,1.35222,2.24873
7,36.8594,6.56064,-5.86118,-1.583,-4.32425,0.714329,-2.43061,-0.807932
6,42.8073,0.927829,2.87559,-5.87693,5.89556,-2.13695,-0.752286,-0.601577
10,43.9193,10.7654,-6.38164,-1.78716,-4.11612,0.586196,-2.26552,-2.37336
3,119.949,21.6085,-8.48319,-6.92707,-7.67065,-4.31641,-3.84616,-2.61066
8,3.18324,2.99058,0.346753,-1.75014,-1.23934,4.01552,-0.728184,1.56854
2,4.14007,0.115185,0.229062,2.02178,0.00464331,1.2067,-0.161864,0.298303
1,6.68842,3.18844,-0.694345,-2.49125,-5.35462,-0.819284,-1.59922,0.794307
7,15.0821,6.56064,3.80396,-0.78227,9.66515,0.800726,-2.43061,-0.807932
4,18.1428,2.73445,1.8641,-3.82987,4.84501,-0.268876,-1.61678,0.3471
10,29.3443,10.7654,5.24643,-1.3488,11.6281,0.438362,-2.26552,-2.37336
6,37.8383,0.927829,-0.222239,-6.14727,-3.09783,-0.270346,-0.752286,-0.601577
9,52.9774,6.88526,6.49686,-3.2815,12.4436,-2.59376,1.35222,2.24873
5,57.9552,2.10359,0.716842,-7.57901,0.765546,-4.83382,0.926907,-1.11554
3,99.1816,21.6085,3.40614,-9.35841,11.8893,-2.43134,-3.84616,-2.61066
7,0.494295,0.494295,-0.667974,-0.219328,-4.47194,0.562941,-0.667974,-0.219328
10,3.01568,3.01568,-1.22009,-1.23574,-6.46652,0.113054,-1.22009,-1.23574
2,4.36342,0.115185,-0.198945,2.07938,-0.428007,0.0576025,-0.161864,0.298303
4,8.58877,2.73445,-0.598628,-2.86887,-2.46273,0.961003,-1.61678,0.3471
8,14.6218,2.99058,-2.49175,2.90051,-2.83851,4.65065,-0.728184,1.56854
9,26.1981,6.88526,2.47097,-4.48246,-4.02589,-1.20095,1.35222,2.24873
6,30.6074,0.927829,-3.29848,-4.44156,-3.07624,1.70571,-0.752286,-0.601577
1,41.0546,3.18844,-5.88585,-2.53208,-5.1915,-0.0408329,-1.59922,0.794307
3,79.638,21.6085,0.256386,-8.92033,-3.14976,0.43808,-3.84616,-2.61066
5,100.7,2.10359,1.21446,-9.96116,0.497623,-2.38216,0.926907,-1.11554
2,0.964967,0.115185,0.185938,0.964569,0.384883,-1.11481,-0.161864,0.298303
6,8.85843,0.927829,2.59902,-1.45036,5.8975,2.9912,-0.752286,-0.601577
4,11.3935,2.73445,-3.20232,-1.06706,-2.60369,1.80181,-1.61678,0.3471
7,13.679,0.494295,-3.69852,-0.00293273,-3.03054,0.216396,-0.667974,-0.219328
1,20.7467,3.18844,4.19353,-1.77793,10.0794,0.75415,-1.59922,0.794307
10,31.2103,3.01568,-5.44186,-1.26348,-4.22178,-0.0277395,-1.22009,-1.23574
8,41.5047,2.99058,1.33089,6.30344,3.82265,3.40293,-0.728184,1.56854
9,54.2726,6.88526,-6.30867,-3.80438,-8.77964,0.678078,1.35222,2.24873
5,79.6951,2.10359,-0.00396466,-8.92721,-1.21843,1.03395,0.926907,-1.11554
3,110.376,21.6085,-8.76637,-5.79019,-9.02276,3.13014,-3.84616,-2.61066
1,0.330167,0.330167,0.211855,-0.53412,-3.98168,1.24381,0.211855,-0.53412
2,0.828716,0.115185,0.263665,-0.871319,0.0777273,-1.83589,-0.161864,0.298303
6,2.70408,0.927829,0.307983,1.61531,-2.29103,3.06567,-0.752286,-0.601577
4,3.3728,2.73445,1.63002,0.84608,4.83234,1.91314,-1.61678,0.3471
3,8.25957,8.25957,2.59494,-1.23526,11.3613,4.55493,2.59494,-1.23526
7,12.5202,0.494295,3.5315,-0.220693,7.23002,-0.21776,-0.667974,-0.219328
5,24.3372,2.10359,0.607297,-4.89576,0.611262,4.03145,0.926907,-1.11554
10,25.705,3.01568,4.86687,-1.42079,10.3087,-0.157302,-1.22009,-1.23574
9,34.8915,6.88526,5.70751,-1.5218,12.0162,2.28258,1.35222,2.24873
8,50.6164,2.99058,0.690433,7.08094,-0.640462,0.777498,-0.728184,1.56854
7,0.615678,0.494295,-0.0179515,-0.784446,-3.54945,-0.563753,-0.667974,-0.219328
5,1.86246,1.86246,1.26942,0.501027,0.662123,5.39678,1.26942,0.501027
10,2.78863,2.78863,-0.293269,-1.64396,-5.16014,-0.223179,-0.293269,-1.64396
4,4.42014,2.73445,-0.16417,2.09599,-1.79419,1.24991,-1.61678,0.3471
2,7.2461,0.115185,-0.191957,-2.685,-0.455623,-1.81369,-0.161864,0.298303
1,13.2044,0.330167,-3.60862,0.426865,-3.82047,0.960986,0.211855,-0.53412
9,14.6887,6.88526,3.5513,1.44116,-2.15621,2.96296,1.35222,2.24873
6,24.6314,0.927829,-3.50446,3.51428,-3.81244,1.89897,-0.752286,-0.601577
8,30.6881,2.99058,-2.54933,4.91823,-3.23977,-2.16271,-0.728184,1.56854
3,97.5281,8.25957,9.35005,3.17879,8.05501,4.41404,2.59494,-1.23526
8,1.55815,1.55815,1.03962,0.690899,3.58895,-4.22733,1.03962,0.690899
2,14.0251,0.115185,0.144975,-3.7422,0.336932,-1.0572,-0.161864,0.298303
1,15.3355,0.330167,3.85005,0.715964,7.45867,0.289099,0.211855,-0.53412
4,16.0518,2.73445,-3.36363,2.17664,-3.19946,0.08065,-1.61678,0.3471
